prompt,response
Will students be safe while they are studying abroad?,"We recognize that safety is a matter of utmost concern for parents when their child expresses an interest in studying in a foreign country. As part of our pre-departure orientation, parents and student wills be given an overview of the university’s various safety precautions, and what they can do personally to ensure they have a safe, fun, and enjoyable study abroad experience. In addition, once our students arrive in the pre-approved country of their choosing, they will again go through an extensive on-site orientation where safety precautions will again be reinforced. For the Prato campus, we have an after-hours emergency phone number available for students and all students can call the University of New Haven Police Department to receive assistance in the event of an emergency. We also enroll all of our students in the Smart Traveler Enrollment Program (STEP), which will send important information from the Embassy about safety conditions in their destination country."
Who is responsible for students while they are studying abroad?,"The University does everything in our power to ensure all students are safe and healthy while abroad by providing comprehensive information before and during their experience. For Prato campus, we provide students with an Emergency Information Card before they depart containing a number of in-country personnel and other local emergency numbers for them to contact should they run into any difficulties. Non-Prato students can contact the University of New Haven Police Department for immediate assistance. Additionally, we have on-site staff to assist students as they adapt and acclimate to the host culture.

                                    

					Although we do everything we can to prepare students and keep them informed of health and safety information, it is ultimately the student’s responsibility to follow suggestions and guidelines, just as it is their responsibility at home campus."
How can someone get in touch with a student while they are abroad?,"There is a variety of ways to keep in touch with students. Most commonly families choose to use ""WhatsApp"" and ""Viber,"" which are international communication applications that provide text messaging, video calling and audio calls through the use of Wi-Fi. Other options are email, and social media sites like Facebook or Instagram. In addition, the university will provide students with an Italian sim card, temporary cell phone, and cell phone plan so they can contact home and their new classmates in their host country."
How much will it cost?,"The cost of each program varies depending on location and program structure. For the Tuscany Campus, students are billed standard tuition and fees as a residential student. For programs in other locations, the program price will vary.   

Read More"
Can I use my financial aid?,"On all semester programs, students have access to their federal financial aid, with the exception of work-study. For the Tuscany Campus and exchange programs, students will maintain access to their institutional aid such as scholarships and grants. For programs through our network of providers, students do not have access to their institutional aid for that semester. 

Read More"
Is airfare included in the cost of studying abroad?,"For study abroad in Prato, group airfare is purchased and billed to your university account.
Read More"
General,"About the University of New Haven
Academic Programs"
How To Apply,"Apply Now
International Admission Requirements for First Year Students
International Admission Requirements for Transfer Students"
SEVIS,"All International Students and Exchange visitors will be required to pay a $350 SEVIS fee before being granted an F-1 or J-1 Visa.
										
More Important Information about SEVIS"
Appointment at the American Embassy and the Visa interview,"After receiving the Form I-20 from the university, the student should pay the SEVIS fee and make an appointment with the American Embassy/Consulate in his/her home country."
Finances and expenses,"Tuition, Health Insurance, Housing Fees & Food Fees
										
Learn More About Expenses 

											International Undergraduate Scholarship Opportunities
										
Learn More About Scholarships"
Living accommodations,"Living in one of our residence halls enables you to participate in a well-rounded educational experience that caters to your personal and professional development.
										
Learn More about living on campus"
Medical Records and Health Insurance,"Health Insurance and Immunization information for International students
Learn More about Medical and Health Insurance"
How do I defer my admission?,"If you are unable to attend the university for the semester you applied, please notify us by email at intUGadm@newhaven.edu.  If you plan to enroll in a future semester, you will need to submit a new application for that term. You will not need to resubmit all of your documents.  However, you will be required to submit new financials and any updated transcripts."
University Immigration Services,"The Office of University Immigration Services (UIS) provides document services and visa advising to the University’s diverse international student and scholar population throughout their visa status life cycle from the issuance of the I-20 or DS-2019 until the end of post-program periods of practical training.
										
Learn More about UIS"
Cost of Attendance for Undergraduate students,"Financial Aid Cost of Attendance
								


The Cost of Attendance consists of direct charges from the university as well as other general expenses incurred by the student during an academic year. For 2023-2024, the estimated costs of attendance for a full-time undergraduate at the University of New Haven are as follows:

Estimated Direct ExpensesBilled by the University of New Haven


 
Resident (On Campus)
Commuter At Home (Off Campus)




Tuition/Fees
$45,730
$45,730


Food and Housing
$19,202
$0


Total Estimated Direct Costs*
$64,932
$45,730




Estimated Indirect ExpensesNot Billed by the University of New Haven


 
Resident (On Campus)
Commuter At Home (Off Campus)




Books/Supplies
$1,240
$1,240


Personal/Misc Expenses
$1,830
$5,318


Transporation Expenses
$850
$3,486


Federal Student Loan Fees
$66
$66


Total Estimated Indirect Costs
$3,986
$10,110




Estimated Total Cost of Attendance


 
Resident (On Campus)
Commuter At Home (Off Campus)




 
$68,918
$55,840



Note: *Costs do not include lab fees, overtime charges for course loads over 17 credits hours, or tuition differentials. The food and housing cost is based on the amount normally assessed most of our residential students. Amounts listed for books, personal, and transportation expenses are estimated costs that may be incurred during the academic year and will not be directly reflected on the student billing account.
Cost of attendance for part-time students is pro-rated and calculated based on part-time costs.


Click here for more information."
Cost of Attendance for Graduate students,"Financial Aid Cost of Attendance
To determine your financial aid eligibility the Financial Aid Office utilizes a Cost of Attendance which consists of direct charges from the university as well as other general expenses incurred by the student during an academic year. For the 2023-24 academic year, the cost of attendance for a standard full-time (9 credits per term) and half-time (minimum of 5 credits per term) Graduate student is as follows:
Graduate Student Cost of Attendance




Type
Full-Time
Half-Time





										 Tuition
									  

$18,990


$10,550




Estimate for Books


$744


$496




Independent Student Allowance


$26,146


$26,146




Fees


$250


$210




Federal Loan Fees


$174


$174




Totals


$46,304


$37,576






Click here for more information."
How can I view my bill?,"For students on main campus: All billing for tuition, fees, housing, and food is processed electronically through ePay.  With ePay, you can access your tuition statement, view account activity, make a payment in a secure environment, and set up others to have similar access.  Paper bill statements are not produced and/or mailed.
Students can access ePay by logging in to myCharger and clicking the ePay located at the top of the page: mycharger.newhaven.edu/
Authorized Users can log in to ePay here: https://secure.touchnet.net/C20544_tsa/web/"
What is a tuition differential fee?,"Tuition differentials are additional fees associated with particular courses. These courses (usually engineering, chemistry, and computer science courses) require additional resources to operate.  Tuition differential fees are noted on the Academic Schedule."
Why am I being charged a lab fee if I’m not taking a lab?,"Although the course in question does not necessarily have a laboratory component, there is an additional fee required to operate the class.  This fee is used to support courses requiring specialized materials and/or a specialized environment. Lab fees are noted on the Academic Schedule."
What happens if I do not pay my bill by the due date?,"If the payment is not received by the designated due date, you may be assessed a late fee as have a financial hold placed on your record.  This hold will restrict you from scheduling/registering for future classes, requesting transcripts, and receiving your diploma."
How can my parent or guardian have access to my bill?,"The University of New Haven fully complies with the provisions of FERPA and with its statements on policies and procedures.

										In order for staff to discuss any details of the student's bill with anyone other than the student, the person must be set up as an authorized payer in ePay.  Once someone is an authorized user, that person will have access to the tuition bill in ePay and will receive email notifications when a new bill is ready to be viewed."
What is FERPA?,"The Family Educational Rights and Privacy Act (FERPA) is a federal law that affords parents the right to have access to their children’s education records, the right to seek to have the records amended, and the right to have some control over the disclosure of personally identifiable information from the education records.  When a student turns 18 years old, or enters a postsecondary institution at any age, the rights under FERPA transfer from the parents to the student (""eligible student""). The FERPA statute is found at 20 U.S.C. § 1232g and the FERPA regulations are found at 34 CFR Part 99. Read more about FERPA here."
How can I view my bill?,"For students on main campus: All billing for tuition, fees, housing, and food is processed electronically through ePay.  With ePay, you can access your tuition statement, view account activity, make a payment in a secure environment, and set up others to have similar access.  Paper bill statements are not produced and/or mailed.
Students can access ePay by logging in to myCharger and clicking the ePay located at the top of the page: mycharger.newhaven.edu/
Authorized Users can log in to ePay here: https://secure.touchnet.net/C20544_tsa/web/"
Who is assessing and collecting this fee?,"The fee is charged by The University’s third party credit card processor, PayPath, and covers the credit and debit card transaction fees assessed by credit card companies and financial institutions. The University of New Haven receives no benefit or revenue from this process."
How can I avoid paying the fee?,You can avoid paying the 2.95% fee by paying online with an e-check through ePay (ACH bank transfer from checking or savings account).
Is the service fee refundable or can it be waived?,"The service fee is assessed by an outside vendor, not by the University of New Haven. The fee is not refundable and cannot be waived."
Do other Universities charge a service fee for credit and debit card payments?,Yes. Colleges and Universities across the country have made similar changes to their credit and debit card payment policies.  Some are choosing not to accept credit and debit card payments due to the additional costs associated with credit and debit card transactions.
How do I make a credit card payment if that remains my preferred payment method?,Credit and debit card payments can only be made online through ePay.  The University of New Haven will no longer process credit and debit cards in person at the Bursar’s Office or via phone.
Why am I being charged for health insurance?,"All full time undergraduate students and all international students are automatically charged for University of New Haven health insurance.  Domestic students will have an opportunity to waive this coverage, if you are already covered by another health insurance plan.  Please contact the Bursar’s Office for further information regarding the waiver deadline.
The University health insurance plan is mandatory for all international students."
What if I missed the health insurance waiver deadline?,"Once the waiver deadline has passed, you will not be able to waive coverage until the next academic year. Failure to complete the online waiver request form by the specified date will obligate the student to pay for the coverage indicated on his/her student account."
The loan amount I took out to cover my balance was more than what I owed. How and when can I receive a refund?,If a student has a Title IV (federal financial aid) credit on their account then a refund will be processed automatically within 14 days of the funds posting to a student’s account. If the credit on a students' account is not a Title IV credit then the student must request a refund by emailing the Bursar's Office.
What is the quickest way to receive my refund?,Students are strongly encouraged to enroll in direct deposit through ePay to have refunds deposited directly into their checking or savings account of their choice. Students can enroll in direct deposit by clicking on the Refunds menu option in ePay.
Does the University of New Haven offer financial aid to Graduate Students?,"Yes, the University of New Haven is committed to assisting our Graduate Students
									  in the financing of their education by offering a comprehensive financial aid program.
									  We try to meet the needs of Graduate aid applicants through a ""package"" of assistance,
									  generally consisting of:
Federal the Direct Unsubsidized Student Loan - The primary financial aid source for most graduate students. Student loans are
									  awarded to graduate students who are U.S. citizens or eligible non-citizens, are matriculated
									  and enrolled at least half-time (5 credits per term), and have completed the financial
									  aid application process.  Graduate students may be able to borrow up to $20,500 per
									  year in Federal Direct Student Loans, however this amount may be lower depending on
									  the student's enrollment plans or other financial assistance a student is receiving.  
									  Students are responsible for paying the interest on Unsubsidized loans.  You can opt
									  to make interest only payments once per quarter which will assist in reducing accumulated
									  interest. More information on the Federal Direct Student Loans can be found here."
How do I apply for aid?,"If you are applying for Graduate aid for any term in the 2022-2023 academic year (Fall 2022, Spring 2023) you are required to submit the 2022-2023 FAFSA. The FAFSA is available each year beginning October 1."
Will my financial aid cover my course costs?,"R. If students are eligible for the maximum student loans of $20,500 per academic year,
									  it will cover most of the cost for a full time course load for most  University of New Haven Graduate Degree Programs.  You should monitor your student
									  billing account on e-pay, the university's on-line student account system, to review
									  your current balance status. A current list of graduate charges is also available
									  on the Bursar's website.  Any excess financial aid funds, after tuition and fee charges are satisfied, will
									  be returned to students in the form of a refund from the Bursar's Office."
When will I receive my refund?,"A refund can only be issued when there is a credit on your account at the Bursar's
									  office (i.e. there is excess financial aid after all of your university tuition and
									  fee costs have been covered).  To expedite a refund, you need to make sure that all of your financial aid requirements are completed including submission of an accepted financial aid award, completion of a Federal Student Loan Master Promissory Note and/or Student Loan Entrance Counseling session (if required) and proper enrollment in the upcoming term. Failure to complete any of these procedures can result in delayed disbursements and refunds.
If all of your financial aid requirements are completed, your aid will disburse to
									  your account on the first day of the term.  If your federal aid creates a credit on
									  your account, the Bursar's office will generate a refund. Under federal regulations,
									  the Bursar's office has 14 days once a credit is created by your federal financial
									  aid to process a refund.  Traditionally our Bursar's office makes every effort to
									  expedite that process in a shorter timeframe. Refunds are processed on a weekly basis and are available for student pickup on Fridays
									  at the Bursar's Office. For more information regarding refunds click here."
Do I need to notify the Financial Aid Office if I add or drop a class?,"Yes. There are several reasons that you have to notify us that you have added or dropped a class:
1. Some loans and grant programs require you register for a specific number of credits each trimester. Federal Student loans are only available to students that are enrolled half-time or above (5 credits are
										  more) in any given term.  Our Graduate Assistantship positions are only available
										  to fulltime students (9 credits per term) with the only exception being the last term
										  of enrollment where the student may enroll half-time and still receive the Graduate
										  Assistantship grant for 50% of their tuition.
2. The number of credits you register for determines your enrollment status (ie. full
										  time, part time) and this in turn may affect the amount of financial aid you can receive. 
										  Your overall Cost of Attendance is derived by your enrollment status.
3. Satisfactory academic progress, a mandatory regulation for maintaining financial aid, may be affected by dropping classes.  You were awarded aid based on achieving a specific number of credits per
										  term (as stated in your financial aid award).  If you do not successfully earn those
										  credits at year end, when we check academic progress, you will be ineligible to receive
										  aid for the next academic year until those deficient credits are achieved. Students
										  have an opportunity to appeal their loss of eligibility.
Bottomline... before you change your schedule, drop a class or withdraw from a class,
											 you must notify the Financial Aid Office to determine if that change will affect your
											 eligibility for aid or your loan amounts."
What are the most common errors when applying for financial aid?,"Filing your application late - Incorrect Social Security Numbers –  Omitting the
										  school code 001397 on the FAFSA - Not using your legal name from your social security
										  card - Submitting illegible, incomplete, or unsigned documentation - Failing to report
										  other untaxed income such as child support, contributions to a 401k plan or an IRA,
										  etc. - Under reporting or failure to report student assets - Incorrect reporting of
										  number in household/college on the FAFSA. Please double check your FAFSA before submitting
										  it."
If I receive an outside scholarship must I notify the Financial Aid Office?,"Yes. Anytime a student receives funds from an outside company, employer, agency, or civic group they must report it to the University of New Haven Financial Aid Office."
Do I have to re-apply for financial aid every year?,"Yes. Financial aid is not automatic and must be reapplied for each year. You can file anytime after October 1, and our priority date to submit the FAFSA is January 1."
Who do I contact with additional questions or for more information on financial aid?,"The Financial Aid Office is located in Bergami Hall and is open from 8:30 a.m. – 4:30 p.m. Monday-Friday. We can also be reached at (203) 932-7315, or by email at financialaid@newhaven.edu."
Who is considered an international student?,"The following requirements must be satisfied to be considered an international student:

enters or resides in the US with the purpose of studying. 
neither a citizen of the US or a lawful permanent resident but is presently in the country on a non-immigrant visa (F-1, J-1, etc.). 
does not possess a ""green card"" indicating permanent residence."
Is international student welcome and graduate orientation day mandatory for international students?,"Yes, international student welcome and graduate orientation day is mandatory for all incoming international students. Orientation provides students with key resources, information, and guide to what their next steps should be at the University of New Haven."
How can I find out about local banking availability?,"The University of New Haven holds a Resource Fair during the Orientation program where local bank representatives are present. Four of the common banks in the area are TD Bank, Bank of America, Wells Fargo, and Chase Bank. For further information, you can contact the Office of Graduate and International Student Life and University Immigration Services."
Where can I learn more about health services and health insurance?,"Information regarding health services can be found at University of New Haven Health Services. For international students health requirements and health insurance, information can be found on International Students Health Requirements. Also, information can be found on the International Student Orientation Canvas course."
Can I defer my offer of admission?,"To defer your offer of admission to the University of New Haven, you would need to contact the Graduate Admissions office."
Do I have to be enrolled full time?,"All international graduate students need to be enrolled in a minimum of nine credits with six being on-ground. All international undergraduate students need to be enrolled in a minimum of twelve credits with nine being on-ground. For further information, you can contact Graduate Admissions office and University Immigration Services."
"Who should I contact for queries related to employment regulations, immigration, SEVIS, or visa status?","For any queries related to a student’s SEVIS, visa status, immigration, and employment regulations, you should contact University Immigration Services."
I believe I may have been targeted by a scam. What should I do?,First you should contact the Office of Graduate and International Student Life and then visit University of New Haven Police Department to make a report as soon as possible.
"As an international student, can I get a driver’s license?","Yes, as an international student you can acquire a driver's license. For further information, go to Canvas, under your International Student Orientation course, the module Practical Information, select Connecticut State ID and Driver’s License. For further assistance, please contact the Office of Graduate and International Student Life or the Department of Motor Vehicles."
Does the University provide bus passes to use for CT Transit?,"The CT Transit ChargerGo Bus Pass Program provides a semester only bus pass for approximately $40 USD. These can be applied for online on the University Parking System. During off semesters, students can apply for a CT Transit Bus Pass."
"Are students required to live on campus? If not, what resources does the university suggest to students in search of off-campus accommodations?","Both domestic and international graduate students are not required to reside on campus. However, the University of New Haven offers multiple options for graduate student housing. For further information, please visit Graduate Student Housing. In search of off-campus accommodations, students can check out Jump Off Campus. Please go through the University of New Haven Off-Campus Living Guide for tips to follow and things to avoid while searching for your new off-campus accommodation."
I recently moved. Do I need to report my change of address?,"Yes, students need to report changes of address and additionally, any updates to personal information. On your MyCharger, go to Student Resources, then scroll down and select University Immigration Services, then select Update Personal, Academic, Financial Info. 
Additionally, on your MyCharger, go to Self-Service Banner, select the Personal Information Tab and update the respective information."
How can I connect with other students once I am enrolled?,"The University of New Haven offers numerous social events throughout the academic year. For more information, contact and follow the Office of Graduate and International Student Life on their social medias."
Is the University of New Haven accredited?,"The University is accredited by the New England Commission of Higher Education (formerly the Commission on Institutions of Higher Education of the New England Association of Schools and Colleges, Inc.), and has been since 1948. For more information, visit About the University of New Haven."
